day,number_emerging
1,948
2,4
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1763
12,4487
13,1830
14,7952
15,1953
16,2419
17,1966
18,132
19,36
20,16
21,85
22,17
23,0
24,5
25,41
26,10
27,0
28,494
29,424
30,1541
31,1317
32,2016
33,1496
34,2898
35,855
36,469
37,925
38,522
39,55
40,45
41,0
42,0
43,0
44,5
45,45
46,2
47,47
48,5205
49,1496
50,1957
51,855
52,501
53,1771
54,1607
55,674
56,197
57,700
58,0
59,16
60,43
61,0
62,37
63,0
64,105
65,326
66,729
67,1072
68,1747
69,3794
70,2576
71,2220
72,3248
73,4808
74,1052
75,1270
76,95
77,3
78,0
79,0
80,18
81,10
82,19
83,27
84,120
85,435
86,298
87,247
88,456
89,897
90,1459
91,721
92,1258
93,1045
94,2300
95,1782
96,1252
97,232
98,53
99,23
100,50